,kingdom,supergroup,division,class,order,family,genus,species,taxon
Cercozoa_337,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,Eocercomonas,Eocercomonas_sp.,Eocercomonas_sp.
Cercozoa_95,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,,,,,Filosa-Imbricatea
Ciliophora_574,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,Colpodida_X,Colpodida_X_sp.,Colpodida_X_sp.
Conosa_125,Eukaryota,Amoebozoa,Conosa,Mycetozoa-Myxogastrea,,,,,Mycetozoa-Myxogastrea
Discoba_16,Eukaryota,Excavata,Discoba,Euglenozoa,,,,,Euglenozoa
Discoba_34,Eukaryota,Excavata,Discoba,Jakobida,Jakobida_X,Jakobidae,,,Jakobidae
Ochrophyta_881,Eukaryota,Stramenopiles,Ochrophyta,Xanthophyceae,Xanthophyceae_X,Xanthophyceae_XX,Botrydiopsis,Botrydiopsis_intercedens,Botrydiopsis_intercedens
Radiolaria_33,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Spumellarida,Ethmosphaeridae,Styptosphaera,Styptosphaera_sp.,Styptosphaera_sp.
Radiolaria_48,Eukaryota,Rhizaria,Radiolaria,RAD-A,RAD-A_X,RAD-A_XX,RAD-A_XXX,RAD-A_XXX_sp.,RAD-A_XXX_sp.
Sagenista_50,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Labyrinthulales,Labyrinthulaceae,Aplanochytrium,Aplanochytrium_kerguelense,Aplanochytrium_kerguelense
Streptophyta_30,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Juniperus,Juniperus_chinensis,Juniperus_chinensis
Streptophyta_424,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Sparganium,Sparganium_eurycarpum,Sparganium_eurycarpum
Cercozoa_285,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Paracercomonadidae,Paracercomonas,Paracercomonas_sp.,Paracercomonas_sp.
Apicomplexa_327,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Gregarines,Gregarines_X,Selenidium2,,Selenidium2
Centroheliozoa_1,Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,Centroheliozoa_XX,Centroheliozoa_XXX,Centroheliozoa_XXXX,Centroheliozoa_XXXX_sp.,Centroheliozoa_XXXX_sp.
Cercozoa_139,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Euglyphida,,,,Euglyphida
Cercozoa_161,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Sandonidae,Sandona,Sandona_campae,Sandona_campae
Cercozoa_165,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Allapsidae,Allapsa,Allapsa_sp.,Allapsa_sp.
Cercozoa_207,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Cryomonadida_X,Cryomonadida_XX,Cryomonadida_XX_sp.,Cryomonadida_XX_sp.
Cercozoa_21,Eukaryota,Rhizaria,Cercozoa,Filosa-Granofilosea,Limnofilida,Limnofilidae,Limnofilidae_X,Limnofilidae_X_sp.,Limnofilidae_X_sp.
Cercozoa_218,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Cryothecomonas-lineage,Cryothecomonas,Cryothecomonas_aestivalis,Cryothecomonas_aestivalis
Cercozoa_249,Eukaryota,Rhizaria,Cercozoa,Phaeodarea,Phaeoconchida,Conchariidae,Conchellium,Conchellium_capsula,Conchellium_capsula
Cercozoa_252,Eukaryota,Rhizaria,Cercozoa,Phaeodarea,Phaeocystida,Aulacanthidae,Aulacantha,Aulacantha_scolymantha,Aulacantha_scolymantha
Cercozoa_41,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Thaumatomonadida,Thaumatomonadidae,Thaumatomonas,Thaumatomonas_sp.,Thaumatomonas_sp.
Cercozoa_412,Eukaryota,Rhizaria,Cercozoa,,,,,,Cercozoa
Cercozoa_418,Eukaryota,Rhizaria,Cercozoa,Chlorarachniophyceae,Chlorarachnida,Chlorarachnida_X,Gymnochlora,Gymnochlora_sp.,Gymnochlora_sp.
Cercozoa_61,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Thaumatomonadida,Thaumatomonadidae,Thaumatomonas,Thaumatomonas_sp.,Thaumatomonas_sp.
Chlorophyta_352,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_sp.,Chlamydomonas_sp.
